epoch_utc,station,satellite,obs_range_m,obs_range_corrected_m,model_range_m,tropo_delay_m,com_correction_m,tide_radial_m,ocean_radial_m,shapiro_delay_m,residual_m,residual_mm,elevation_deg,elev_reported_deg,np2_file
2024-01-17T20:10:05.064996Z,1893,lageos1,6341252.4011119,6341233.640259707,9082203.863542713,18.99294163058498,0.251,0.06598994022227903,0.0010292985994996692,0.018910561876513913,-2740970.223283006,-2740970223.2830057,13.692461622161717,,allsat_20240121.np2
2024-01-17T20:12:26.655941Z,1893,lageos1,6575818.885413875,6575800.124561891,9082203.863501525,18.99294142279291,0.251,0.06608604829465191,0.00102662949620517,0.018910561876297072,-2506403.7389396336,-2506403738.9396334,13.69246162179437,,allsat_20240121.np2
2024-01-20T21:53:41.405258Z,8834,lageos2,7524137.801039637,7524131.176821784,7230365.947113692,6.860683151393485,0.251,0.0048470688704328295,0.00038838382868702044,0.01453470187551407,293765.2297080923,293765229.7080923,38.46287211510027,,allsat_20240121.np2
2024-01-20T21:54:38.907758Z,8834,lageos2,7573528.373457851,7573521.749240013,7230365.947108753,6.860683137005058,0.251,0.00481993464694918,0.0004334001679712748,0.014534701875487423,343155.8021312598,343155802.1312598,38.46287211487884,,allsat_20240121.np2
2024-01-21T01:19:31.604000Z,7941,lageos2,7775916.778855309,7775911.603301372,6541367.538000007,5.413542074353149,0.251,0.023747563595859708,-0.003175378956255125,0.013011862855118335,1234544.0653013652,1234544065.3013651,53.26476125398082,,allsat_20240121.np2
2024-01-21T01:21:00.704000Z,7941,lageos2,7576600.481756531,7576595.3062024955,6541367.53813174,5.413542173214656,0.251,0.02369035939662988,-0.0032738826540280987,0.013011862855523281,1035227.7680707555,1035227768.0707555,53.26476125460929,,allsat_20240121.np2
2024-01-21T01:39:27.904000Z,7941,lageos2,5962501.351287578,5962496.175732302,6541367.5397848375,5.413543414459577,0.251,0.022978728829648097,-0.004517238029606566,0.013011862860605692,-578871.364052536,-578871364.052536,53.264761262523535,,allsat_20240121.np2
2024-01-21T01:41:11.004000Z,7941,lageos2,5927658.814044187,5927653.638488794,6541367.539939669,5.41354353075261,0.251,0.02291239016487241,-0.004634063503012942,0.013011862861081754,-613713.9014508752,-613713901.4508752,53.26476126326635,,allsat_20240121.np2
2024-01-21T01:43:14.504000Z,7941,lageos2,5917525.311971692,5917520.13641616,6541367.540125191,5.413543670101609,0.251,0.02283290906595892,-0.00477406013320116,0.013011862861652198,-623847.4037090316,-623847403.7090316,53.26476126415652,,allsat_20240121.np2
2024-01-21T01:45:01.804000Z,7941,lageos2,5936861.201438959,5936856.025883305,6541367.5402863985,5.413543791187294,0.251,0.022763839446437752,-0.0048957017233460095,0.013011862862147878,-604511.5144030936,-604511514.4030936,53.26476126493007,,allsat_20240121.np2
2024-01-21T01:46:58.504000Z,7941,lageos2,5987276.482945831,5987271.307390045,6541367.540461712,5.413543922867339,0.251,0.022688703857429892,-0.005027964965684434,0.01301186286268693,-554096.2330716662,-554096233.0716662,53.264761265771284,,allsat_20240121.np2
2024-01-21T01:48:58.704000Z,7941,lageos2,6070327.241776883,6070322.0662209615,6541367.540642225,5.41354405845344,0.251,0.022611298383586664,-0.005164109442016325,0.013011862863241965,-471045.4744212637,-471045474.4212637,53.26476126663738,,allsat_20240121.np2
2024-01-21T01:51:35.104000Z,7941,lageos2,6223258.214367613,6223253.038811516,6541367.540876954,5.413544234753773,0.251,0.02251055613605746,-0.005341042993083457,0.013011862863963695,-318114.50206543785,-318114502.06543785,53.264761267763355,,allsat_20240121.np2
2024-01-21T01:29:47.629326Z,8834,lageos2,6595249.263842794,6595242.639617348,7230365.954418026,6.860690744440717,0.251,-0.0013903340339131353,-0.002816968487020405,0.014534701900117242,-635123.3148006778,-635123314.8006778,38.4628721481357,,allsat_20240121.np2
2024-01-21T01:31:14.721933Z,8834,lageos2,6448185.235950766,6448178.611725209,7230365.954513494,6.860690855194257,0.251,-0.0014329953117531167,-0.002912023431310127,0.014534701900451256,-782187.3427882846,-782187342.7882847,38.46287214881506,,allsat_20240121.np2
2024-01-21T01:33:02.148388Z,8834,lageos2,6284177.22013749,6284170.595911796,7230365.954631571,6.860690992215554,0.251,-0.0014856301499630012,-0.0030297683646584384,0.014534701900864415,-946195.3587197745,-946195358.7197745,38.46287214965618,,allsat_20240121.np2
2024-01-21T01:35:01.070350Z,8834,lageos2,6127207.263827005,6127200.63960116,7230365.954762668,6.860691144397314,0.251,-0.0015439144196955513,-0.003160714589264764,0.014534701901323185,-1103165.3151615085,-1103165315.1615086,38.46287215059112,,allsat_20240121.np2
2024-01-21T01:37:02.956183Z,8834,lageos2,5995665.926999566,5995659.302773564,7230365.954897425,6.860691300875762,0.251,-0.0016036699064824684,-0.003295533138670713,0.01453470190179482,-1234706.652123861,-1234706652.123861,38.462872151553235,,allsat_20240121.np2
2024-01-21T01:38:19.516183Z,8834,lageos2,5929319.445413012,5929312.821186911,7230365.954982259,6.860691399408421,0.251,-0.0016412136553196916,-0.003380509273897792,0.01453470190209175,-1301053.133795348,-1301053133.795348,38.46287215215941,,allsat_20240121.np2
2024-01-21T05:37:25.804000Z,7941,lageos2,6902177.394444445,6902172.218880289,6541367.552081944,5.41355229332589,0.251,0.013684282644439385,-0.009208554291600106,0.01301186289798792,360804.6667983448,360804666.7983448,53.264761306448264,,allsat_20240121.np2
2024-01-21T05:39:03.204000Z,7941,lageos2,6711780.183295948,6711775.007731816,6541367.552059727,5.413552270042157,0.251,0.013620206853991876,-0.009107833235888851,0.0130118628979117,170407.455672089,170407455.672089,53.26476130606361,,allsat_20240121.np2
2024-01-21T05:40:12.704000Z,7941,lageos2,6583758.865355142,6583753.689791027,6541367.552042928,5.413552252680875,0.251,0.013574480454803644,-0.009034781157650867,0.013011862897854363,42386.13774809986,42386137.74809986,53.26476130578304,,allsat_20240121.np2
2024-01-21T05:25:51.720697Z,8834,lageos2,7893701.278418011,7893694.654180628,7230365.965227716,6.860702681208173,0.251,-0.008447152743665587,-0.010603533496895828,0.014534701937284098,663328.6889529126,663328688.9529126,38.46287221207812,,allsat_20240121.np2
